Num,Timestamp,C0,T0,C1,T1,C2,T2,C3,T3,C4,T4,C5,T5,S0,S1,S2,S3,S4,S5,Tool_current,cycle ,Robot_ProtectiveStop,grip_lost
3632,2022-10-26T14:32:39.942Z,-0.169249698519706mA,36.5°,-2.35729265213012mA,39.625°,-0.964827179908752mA,40.125°,-0.452353537082672mA,43.0625°,0.0391648486256599mA,45.25°,0.0717921331524849mA,44.625°,5.78306171519216e-05m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.087651789188385mA,151,0,FALSE
3633,2022-10-26T14:32:40.944Z,-0.0502631291747093mA,36.5°,-1.52495193481445mA,39.625°,-0.890854358673095mA,40.125°,-0.783763825893402mA,43.0625°,0.0385370701551437mA,45.1875°,-0.00116569641977548mA,44.5625°,0.0528398118913173m/s,0.0m/s,0.00117681745905429m/s,-0.0541267432272434m/s,0.0m/s,6.94048721925355e-05m/s,0.0831531286239624mA,152,0,FALSE
3634,2022-10-26T14:32:41.949Z,0.144996553659439mA,36.5°,-2.44546461105346mA,39.6875°,-1.32025790214538mA,40.1875°,-0.79652190208435mA,43.0625°,-0.0149000752717256mA,45.1875°,-0.118990197777748mA,44.625°,-0.000831693061627447m/s,1.51452242132081e-13m/s,0.0m/s,-6.93674883223138e-05m/s,0.0m/s,-0.000366267806384712m/s,0.172860741615295mA,152,0,FALSE
3635,2022-10-26T14:32:42.958Z,0.36957561969757mA,36.5°,-2.97038841247558mA,39.625°,-1.94280624389648mA,40.1875°,-0.533622622489929mA,43.125°,-1.15723359584808mA,45.1875°,0.262183248996734mA,44.5625°,-0.426463365554809m/s,-0.135783210396766m/s,-0.055070087313652m/s,0.791577994823455m/s,0.161071971058845m/s,-0.33066377043724m/s,0.0875657200813293mA,152,0,FALSE
3636,2022-10-26T14:32:43.967Z,-2.27494144439697mA,36.5°,-1.81016278266906mA,39.625°,-0.558603405952453mA,40.125°,0.811005890369415mA,43.0625°,3.06708478927612mA,45.1875°,-0.0847772061824798mA,44.625°,0.0493379011750221m/s,0.360668748617172m/s,0.0279969628900289m/s,0.16219462454319m/s,0.00362297520041465m/s,0.0871094167232513m/s,0.0857853293418884mA,152,1,FALSE
3637,2022-10-26T14:32:44.976Z,-0.117144167423248mA,36.5°,-2.97315955162048mA,39.6875°,-2.16140961647033mA,40.125°,-1.07969570159912mA,43.0625°,0.341335296630859mA,45.25°,-0.0222061462700366mA,44.5625°,0.000151531377923674m/s,-0.000376624113414436m/s,-0.000941514386795461m/s,-0.0110392048954963m/s,0.0m/s,4.73368854727596e-05m/s,0.0844261646270752mA,152,1,FALSE
3638,2022-10-26T14:32:45.983Z,-0.0160702653229236mA,36.5°,-2.72474431991577mA,39.625°,-2.22822403907775mA,40.125°,-0.903025865554809mA,43.0625°,0.296654939651489mA,45.25°,-0.0104809049516916mA,44.625°,7.4263836722821e-05m/s,4.04964266635943e-05m/s,0.0m/s,-4.81678630024582e-29m/s,0.0m/s,0.0m/s,0.0825595259666442mA,152,1,FALSE
3639,2022-10-26T14:32:46.985Z,0.0163442119956016mA,36.5°,-2.72463345527648mA,39.625°,-2.35291504859924mA,40.125°,-0.903946876525878mA,43.0625°,0.30366575717926mA,45.25°,-0.0113530494272708mA,44.625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0856992006301879mA,152,1,FALSE
3640,2022-10-26T14:32:47.986Z,0.00661643268540501mA,36.5°,-2.88240599632263mA,39.6875°,-2.14377379417419mA,40.125°,-0.932868242263794mA,43.0625°,0.306857496500015mA,45.1875°,0.00540073867887258mA,44.625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,3.84898764179663e-33m/s,0.0871445536613464mA,152,0,FALSE
3641,2022-10-26T14:32:48.990Z,0.222919762134552mA,36.5°,-4.60197734832763mA,39.625°,-2.7983956336975mA,40.1875°,-1.29458808898925mA,43.0625°,0.104148313403129mA,45.25°,0.0488613843917846mA,44.625°,-0.000619728525634855m/s,-0.0404135882854461m/s,0.0097484728321433m/s,-0.000512021826580166m/s,0.000124186539324m/s,-0.00308376783505082m/s,0.0845984816551208mA,152,0,FALSE
3642,2022-10-26T14:32:49.998Z,-0.365303665399551mA,36.5°,-4.08124828338623mA,39.6875°,-1.3207197189331mA,40.1875°,-0.991869807243347mA,43.0625°,1.15345835685729mA,45.1875°,0.175621345639228mA,44.625°,-0.00841878913342952m/s,0.00821168906986713m/s,0.00486936746165156m/s,-0.439969539642334m/s,0.0179713983088731m/s,0.525261878967285m/s,0.0881590843200683mA,152,0,FALSE
3643,2022-10-26T14:32:50.999Z,-0.483492851257324mA,36.5°,-1.80068683624267mA,39.6875°,-0.240597128868103mA,40.1875°,-0.116155751049518mA,43.0625°,0.952821016311645mA,45.25°,0.19323119521141mA,44.625°,0.0795922577381134m/s,0.0468863844871521m/s,-0.00289594684727489m/s,-0.217234015464782m/s,0.0057732006534934m/s,0.111942365765571m/s,0.0856992006301879mA,152,0,FALSE
3644,2022-10-26T14:32:52.008Z,0.0407044440507888mA,36.5°,-2.20076012611389mA,39.625°,-1.16332006454467mA,40.125°,-0.614537417888641mA,43.0625°,-0.078698843717575mA,45.25°,-0.0560005754232406mA,44.625°,-7.773721387633e-19m/s,-4.43843919128994e-06m/s,3.07153131871018e-05m/s,9.63049897109158e-05m/s,-1.87352394230114e-24m/s,-0.000255803432082757m/s,0.167261123657226mA,152,0,FALSE
3645,2022-10-26T14:32:53.019Z,-0.0614456161856651mA,36.5°,-1.86703336238861mA,39.625°,-0.954171538352966mA,40.1875°,-0.574091434478759mA,43.0625°,-0.0712794288992881mA,45.25°,0.00769508583471179mA,44.5625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,1.06140911241256e-26m/s,0.080606997013092mA,152,0,FALSE
3646,2022-10-26T14:32:54.022Z,-0.0265584960579872mA,36.5°,-1.86852288246154mA,39.6875°,-0.924056828022003mA,40.125°,-0.575748980045318mA,43.0625°,-0.0758702978491783mA,45.25°,0.0251894909888505mA,44.625°,0.0m/s,-3.3640649934399e-38m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.093337595462799mA,152,0,FALSE
3647,2022-10-26T14:32:55.033Z,-0.291324377059936mA,36.5°,-2.68277120590209mA,39.6875°,-1.35364985466003mA,40.125°,-0.296440184116363mA,43.0625°,0.0940161868929863mA,45.25°,-0.157277226448059mA,44.625°,-0.160917654633522m/s,0.00124894944019615m/s,-0.0152830891311168m/s,0.348619639873504m/s,-0.0119097996503114m/s,-0.19803811609745m/s,0.0782331824302673mA,152,0,FALSE
3648,2022-10-26T14:32:56.037Z,-0.183373153209686mA,36.5°,-1.85432481765747mA,39.625°,-1.91413843631744mA,40.1875°,-0.293428540229797mA,43.0625°,0.131689220666885mA,45.25°,-0.199010372161865mA,44.625°,0.0954428538680076m/s,0.000918401929084211m/s,-0.0143853733316063m/s,0.488327294588089m/s,-0.0167886205017566m/s,-0.585686862468719m/s,0.0812004208564758mA,152,0,FALSE
3649,2022-10-26T14:32:57.042Z,0.864548623561859mA,36.5°,-1.84371078014373mA,39.625°,-0.722255527973175mA,40.1875°,-0.660927772521972mA,43.0625°,-0.161983013153076mA,45.25°,-0.0327612534165382mA,44.625°,0.00379831041209399m/s,-0.00511672906577587m/s,2.5939507484436m/s,-0.593495368957519m/s,0.0m/s,0.651866436004638m/s,0.0837465524673461mA,152,0,FALSE
3650,2022-10-26T14:32:58.049Z,-0.299616038799285mA,36.5°,-3.2669401168823198mA,39.6875°,-1.04790711402893mA,40.1875°,-0.357558041810989mA,43.0625°,-0.194144785404205mA,45.25°,0.174668282270431mA,44.625°,-0.272595167160034m/s,-0.0373832806944847m/s,-0.0404202677309513m/s,0.265358924865722m/s,0.0731305330991745m/s,0.0142344264313578m/s,0.0826457738876342mA,152,0,FALSE
3651,2022-10-26T14:32:59.049Z,-0.770104110240936mA,36.5°,-1.87998533248901mA,39.625°,-1.56988549232482mA,40.1875°,-0.029903570190072mA,43.0625°,0.210911870002746mA,45.25°,0.0776497423648834mA,44.625°,0.11101708561182m/s,0.148466378450393m/s,-2.51866340637207m/s,0.379561215639114m/s,7.69880090985805e-17m/s,-0.493447482585907m/s,0.0934236645698547mA,152,0,FALSE
3652,2022-10-26T14:33:00.057Z,-0.0200768504291772mA,36.5625°,-1.8274518251419mA,39.6875°,-1.62075114250183mA,40.1875°,-0.492834001779556mA,43.0625°,0.0765628218650817mA,45.25°,0.0237609781324863mA,44.5625°,0.0m/s,0.0m/s,-0.00101935875136405m/s,0.0m/s,0.0m/s,0.0m/s,0.0914709568023681mA,152,0,FALSE
3653,2022-10-26T14:33:01.062Z,0.270858585834503mA,36.5°,-1.71049809455871mA,39.625°,-0.911713659763336mA,40.1875°,-0.814987301826477mA,43.0625°,-0.18951416015625mA,45.25°,0.17336006462574mA,44.625°,0.162659063935279m/s,-0.0322208181023597m/s,0.0337298475205898m/s,-0.359868377447128m/s,0.0155138187110424m/s,0.19271370768547m/s,0.0896044969558715mA,152,0,FALSE
3654,2022-10-26T14:33:02.068Z,-0.123771533370018mA,36.5°,-1.60331273078918mA,39.625°,-0.744349956512451mA,40.25°,-0.66944682598114mA,43.0625°,-0.0985565334558487mA,45.25°,0.0471713170409202mA,44.625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0795062780380249mA,152,0,FALSE
3655,2022-10-26T14:33:03.071Z,-0.0849230587482452mA,36.5°,-1.59061002731323mA,39.625°,-0.757755398750305mA,40.1875°,-0.680521488189697mA,43.0625°,-0.0936032384634018mA,45.25°,-0.00446087447926402mA,44.625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.168534159660339mA,152,0,FALSE
3656,2022-10-26T14:33:04.075Z,-0.0662541911005973mA,36.5°,-5.33575916290283mA,39.6875°,-4.06704330444335mA,40.1875°,-1.63809990882873mA,43.0625°,0.293676435947418mA,45.25°,-0.119574889540672mA,44.625°,-0.00354048749431967m/s,0.0249983295798301m/s,-0.0577078163623809m/s,1.1025983095169m/s,-0.0426854006946086m/s,-1.11238801479339m/s,0.0851919054985046mA,152,0,FALSE
3657,2022-10-26T14:33:05.082Z,0.499732315540313mA,36.5°,-2.87114834785461mA,39.625°,-1.17246294021606mA,40.1875°,-0.789334177970886mA,43.125°,0.0697948858141899mA,45.25°,-0.104104682803153mA,44.625°,0.0170102175325155m/s,0.0829690396785736m/s,2.60872888565063m/s,-0.513161242008209m/s,-0.000911625218577683m/s,0.700688898563385m/s,0.0820523500442504mA,152,0,FALSE
3658,2022-10-26T14:33:06.089Z,-0.564086377620697mA,36.5625°,-2.70268106460571mA,39.625°,-1.45374822616577mA,40.1875°,-1.74658751487731mA,43.125°,1.06649351119995mA,45.25°,-0.243568509817123mA,44.5625°,0.198272943496704m/s,-0.00175278424285352m/s,0.0241989828646183m/s,-0.351795464754104m/s,-0.0838817954063415m/s,0.110907338559627m/s,0.0780608654022216mA,152,0,FALSE
3659,2022-10-26T14:33:07.093Z,-0.0838716328144073mA,36.5625°,-2.68879413604736mA,39.625°,-1.26822733879089mA,40.1875°,-0.636123418807983mA,43.125°,0.0871644020080566mA,45.25°,0.0747858732938766mA,44.625°,-4.29210376751143e-05m/s,0.000191742685274221m/s,0.000163842880283482m/s,0.000449237617431208m/s,0.000862373737618327m/s,-0.00371687253937125m/s,0.162762284278869mA,152,0,FALSE
3660,2022-10-26T14:33:08.104Z,-0.221061334013938mA,36.5°,-2.54480838775634mA,39.6875°,-0.810289978981018mA,40.1875°,-0.33455091714859mA,43.125°,0.1132542937994mA,45.25°,0.150322541594505mA,44.625°,-0.272506266832351m/s,0.000574576028157025m/s,-0.00462641799822449m/s,0.225119680166244m/s,0.00860032904893159m/s,0.0382905416190624m/s,0.0868860483169555mA,152,0,FALSE
3661,2022-10-26T14:33:09.106Z,-0.204254686832427mA,36.5°,-2.65340590476989mA,39.625°,-0.946146130561828mA,40.1875°,-0.40984296798706mA,43.0625°,0.103886514902114mA,45.25°,0.098070815205574mA,44.625°,-3.91372711866824e-39m/s,0.0m/s,0.0m/s,8.9138135081157e-05m/s,0.0m/s,0.0m/s,0.0863787531852722mA,152,0,FALSE
3662,2022-10-26T14:33:10.111Z,-0.153294250369071mA,36.5625°,-2.37306833267211mA,39.625°,-0.993203997611999mA,40.1875°,-0.478677690029144mA,43.125°,0.095550961792469mA,45.25°,0.0630985051393508mA,44.625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0851919054985046mA,152,0,FALSE
3663,2022-10-26T14:33:11.114Z,0.233292818069458mA,36.5°,-2.03369879722595mA,39.6875°,-1.70441460609436mA,40.1875°,-1.08722829818725mA,43.125°,-0.0665023177862167mA,45.25°,-0.188579007983207mA,44.625°,0.712356805801391m/s,-0.00263302447274327m/s,0.0111291008070111m/s,-0.37166091799736m/s,-0.0239411108195781m/s,-0.301229566335678m/s,0.0788266062736511mA,153,0,FALSE
3664,2022-10-26T14:33:12.120Z,0.459173917770385mA,36.5°,-2.36622524261474mA,39.625°,-1.08658981323242mA,40.1875°,-0.581524550914764mA,43.0625°,-1.03402018547058mA,45.25°,-0.28614005446434mA,44.625°,-8.31353463581763e-05m/s,-0.00743979588150978m/s,0.00132004881743341m/s,-5.50342119822744e-05m/s,0.0m/s,-1.24457100181274e-09m/s,0.479074716567993mA,153,0,FALSE
3665,2022-10-26T14:33:13.125Z,-4.6801204681396396mA,36.5°,-3.11812186241149mA,39.625°,-2.12870860099792mA,40.1875°,-0.117865018546581mA,43.125°,3.59524583816528mA,45.25°,0.00637660967186093mA,44.625°,0.00386538333259522m/s,-0.118340954184532m/s,-0.757451832294464m/s,0.137486889958381m/s,-0.00342154968529939m/s,-0.167286679148674m/s,0.080606997013092mA,153,0,FALSE
3666,2022-10-26T14:33:14.140Z,-0.681406199932098mA,36.5°,-4.5273380279541mA,39.6875°,-1.55243277549743mA,40.1875°,-1.10619282722473mA,43.0625°,1.52891278266906mA,45.25°,0.121207080781459mA,44.625°,-0.0762975215911865m/s,0.0828147083520889m/s,-0.00676409248262643m/s,-0.230275824666023m/s,0.00597113883122801m/s,0.247811764478683m/s,0.0845984816551208mA,153,0,FALSE
3667,2022-10-26T14:33:15.145Z,-0.385929614305496mA,36.5°,-3.00220251083374mA,39.6875°,-1.96278381347656mA,40.1875°,-2.47486805915832mA,43.0625°,1.03279292583465mA,45.25°,0.202619165182113mA,44.625°,0.145535930991172m/s,-0.00110907643102109m/s,0.0239784605801105m/s,-0.476964622735977m/s,0.0208943299949169m/s,0.319604933261871m/s,0.0795062780380249mA,153,0,FALSE
3668,2022-10-26T14:33:16.150Z,0.00283120712265372mA,36.5°,-2.83353328704834mA,39.625°,-1.10493874549865mA,40.1875°,-0.752782702445983mA,43.125°,0.0997048020362854mA,45.1875°,-0.0965874418616294mA,44.5625°,-0.00852303206920623m/s,0.00213157152757048m/s,-0.00184599019121378m/s,-0.00036664042272605m/s,-0.000181575742317363m/s,-0.00426311651244759m/s,0.181092500686645mA,153,0,FALSE
3669,2022-10-26T14:33:17.151Z,-0.0464019738137722mA,36.5625°,-1.72022604942321mA,39.6875°,-1.18606185913085mA,40.1875°,-0.503507435321807mA,43.0625°,0.00262634316459298mA,45.25°,0.0115611208602786mA,44.5625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,8.80737104305112e-40m/s,0.0m/s,0.0789127349853515mA,153,0,FALSE
3670,2022-10-26T14:33:18.154Z,-0.00266700494103133mA,36.5°,-1.8310307264328mA,39.6875°,-1.17307460308074mA,40.1875°,-0.508745908737182mA,43.0625°,-0.00129330810159444mA,45.1875°,0.0316554382443428mA,44.5625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0819661617279052mA,153,0,FALSE
3671,2022-10-26T14:33:19.159Z,-0.0238310061395168mA,36.5°,-2.54601573944091mA,39.625°,-1.33503222465515mA,40.1875°,-0.322482377290725mA,43.125°,0.114100933074951mA,45.25°,-0.153270050883293mA,44.625°,-0.0911728665232658m/s,0.00310684042051434m/s,-0.00667490297928452m/s,0.147807568311691m/s,-0.00406448496505618m/s,-0.0703370049595832m/s,0.0793339014053344mA,153,0,FALSE
3672,2022-10-26T14:33:20.162Z,-0.248260036110878mA,36.5°,-2.78378868103027mA,39.625°,-1.7460503578186mA,40.1875°,-0.206594437360763mA,43.0625°,0.192100793123245mA,45.25°,-0.148143261671066mA,44.625°,-0.0225342903286218m/s,0.00361757352948188m/s,-0.0280276294797658m/s,0.640739440917968m/s,-0.025597758591175m/s,-0.635389268398284m/s,0.0806930661201477mA,153,0,FALSE
3673,2022-10-26T14:33:21.165Z,4.68050575256347mA,36.5°,-1.92270255088806mA,39.625°,-0.897181987762451mA,40.1875°,-0.935797095298767mA,43.125°,-1.1498589515686mA,45.25°,-0.106733605265617mA,44.625°,9.03839223827483e-30m/s,-0.0214380603283643m/s,1.1481853723526m/s,-0.266055732965469m/s,-0.000170373037690296m/s,0.286362439393997m/s,0.0869722366333007mA,153,0,FALSE
3674,2022-10-26T14:33:22.166Z,0.131222784519195mA,36.5°,-1.55774641036987mA,39.625°,-0.680123388767242mA,40.1875°,-0.882006227970123mA,43.125°,-0.297168016433715mA,45.25°,-0.245131626725196mA,44.625°,0.467649102210998m/s,-0.0282621383666992m/s,-4.86565477331168e-05m/s,-0.994576036930084m/s,-0.215731665492057m/s,0.420770764350891m/s,0.0782331824302673mA,153,0,FALSE
3675,2022-10-26T14:33:23.172Z,-0.587601065635681mA,36.5°,-1.70631539821624mA,39.6875°,-1.6166558265686mA,40.1875°,-0.322834610939025mA,43.0625°,-0.279311329126358mA,45.25°,0.0808062255382537mA,44.625°,0.108283281326293m/s,0.238516092300415m/s,-2.66782069206237m/s,0.425482988357543m/s,3.0580596899199e-07m/s,-0.514567553997039m/s,0.083239197731018mA,153,0,FALSE
3676,2022-10-26T14:33:24.173Z,0.0227177087217569mA,36.5°,-1.99761509895324mA,39.625°,-1.67309069633483mA,40.1875°,-0.391541421413421mA,43.125°,0.0143065769225358mA,45.25°,0.039026066660881mA,44.625°,0.0m/s,-0.000181130395503714m/s,4.67046423645352e-33m/s,0.000528284057509154m/s,0.0m/s,-0.00014889171870891m/s,0.0888387560844421mA,153,0,FALSE
3677,2022-10-26T14:33:25.183Z,0.218923181295394mA,36.5°,-1.48410773277282mA,39.625°,-0.800307273864746mA,40.1875°,-0.943156838417053mA,43.0625°,-0.161205738782882mA,45.25°,0.267661690711975mA,44.625°,0.145413875579833m/s,-0.089260421693325m/s,0.0758234187960624m/s,-1.09839510917663m/s,0.0547350384294986m/s,0.973895072937011m/s,0.0819661617279052mA,153,0,FALSE
3678,2022-10-26T14:33:26.197Z,-0.115425057709217mA,36.5°,-1.57691216468811mA,39.625°,-0.782842099666595mA,40.1875°,-0.678518056869506mA,43.0625°,-0.113123476505279mA,45.25°,0.0487537384033203mA,44.625°,0.000110228538687806m/s,-8.06276584626175e-05m/s,-3.35714655871378e-37m/s,1.04748332230286e-09m/s,0.0m/s,0.000201139206183142m/s,0.0787404179573059mA,153,0,FALSE
3679,2022-10-26T14:33:27.204Z,-0.07252948731184mA,36.5°,-1.66807472705841mA,39.625°,-0.793323755264282mA,40.1875°,-0.69187718629837mA,43.125°,-0.0938718989491462mA,45.25°,-0.0104571860283613mA,44.625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.156483232975006mA,153,0,FALSE
3680,2022-10-26T14:33:28.213Z,-0.138609513640403mA,36.5°,-4.75608825683593mA,39.6875°,-2.87525415420532mA,40.1875°,-1.24360489845275mA,43.0625°,0.000958642282057553mA,45.1875°,-0.155985563993453mA,44.5625°,-0.43209820985794m/s,0.0234186798334121m/s,-0.0543148219585418m/s,0.650109648704528m/s,-0.0199390109628438m/s,-0.370959192514419m/s,0.083239197731018mA,153,0,FALSE
3681,2022-10-26T14:33:29.217Z,-0.484122693538665mA,36.5°,-3.64701080322265mA,39.6875°,-0.508861303329467mA,40.125°,0.351523667573928mA,43.0625°,1.67613983154296mA,45.25°,-0.0569294393062591mA,44.5625°,-0.00572537258267402m/s,0.0163219161331653m/s,2.61588048934936m/s,-0.502313494682312m/s,-0.00287461536936461m/s,0.62646484375m/s,0.0775535702705383mA,153,0,FALSE
3682,2022-10-26T14:33:30.223Z,-0.0122436750680208mA,36.5°,-2.73357892036438mA,39.625°,-1.87391567230224mA,40.1875°,-2.22257018089294mA,43.125°,-0.414399087429046mA,45.25°,-0.23737034201622mA,44.625°,0.117382578551769m/s,0.00708494149148464m/s,-0.0126361567527055m/s,-0.352186232805252m/s,-0.0678834617137909m/s,0.195725247263908m/s,0.0762804746627807mA,153,0,FALSE
3683,2022-10-26T14:33:31.226Z,0.316117048263549mA,36.5°,-1.96952509880065mA,39.625°,-0.620257914066314mA,40.1875°,0.0663020685315132mA,43.0625°,-0.411767184734344mA,45.25°,-0.188864231109619mA,44.625°,-0.00338961463421583m/s,-0.0129095502197742m/s,1.40901992764369e-13m/s,0.0162722505629062m/s,-0.00275092129595577m/s,-0.00101336801890283m/s,0.282602250576019mA,153,0,FALSE
3684,2022-10-26T14:33:32.239Z,-0.24085333943367mA,36.5°,-2.71023321151733mA,39.6875°,-0.873450517654419mA,40.1875°,-0.347365617752075mA,43.0625°,0.108481287956237mA,45.25°,0.151423841714859mA,44.625°,-0.302349627017974m/s,0.000416248512919992m/s,-0.00432353699579834m/s,0.171071231365203m/s,0.00928988493978977m/s,0.130325749516487m/s,0.0856992006301879mA,153,0,FALSE
3685,2022-10-26T14:33:33.240Z,-0.226518377661705mA,36.5°,-2.78438591957092mA,39.6875°,-0.909043073654174mA,40.1875°,-0.497197568416595mA,43.0625°,0.0861028656363487mA,45.25°,0.0952879711985588mA,44.625°,-0.00114196550566703m/s,1.4375995795623e-19m/s,-0.000311765033984556m/s,-4.59194343420676e-05m/s,9.28413719520904e-05m/s,0.00044344988418743m/s,0.0800134539604187mA,153,0,FALSE
3686,2022-10-26T14:33:34.243Z,-0.138039469718933mA,36.5°,-2.50939130783081mA,39.625°,-1.00161266326904mA,40.1875°,-0.41948327422142mA,43.0625°,0.0584705993533134mA,45.25°,0.0497472435235977mA,44.5625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0794200301170349mA,153,0,FALSE
3687,2022-10-26T14:33:35.251Z,-0.1123708486557mA,36.5°,-2.32396221160888mA,39.6875°,-1.0463547706604mA,40.1875°,-0.471399903297424mA,43.0625°,0.0300964899361133mA,45.25°,0.0325036719441413mA,44.625°,3.54311984482672e-14m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0840049386024475mA,154,0,FALSE
3688,2022-10-26T14:33:36.262Z,0.154807806015014mA,36.5625°,-2.42774486541748mA,39.6875°,-1.33715856075286mA,40.25°,-0.827622890472412mA,43.0625°,0.00801856163889169mA,45.25°,-0.121833890676498mA,44.625°,-0.000429958367021754m/s,3.25244088746354e-20m/s,1.13315610059098e-31m/s,-0.00012253712338861m/s,0.0m/s,-0.000347010791301727m/s,0.1679407954216mA,154,0,FALSE
3689,2022-10-26T14:33:37.269Z,0.0703800395131111mA,36.5°,-4.22259473800659mA,39.6875°,-2.81320834159851mA,40.1875°,-0.732793450355529mA,43.125°,-0.847599327564239mA,45.25°,0.240257233381271mA,44.625°,-0.521168708801269m/s,-0.109644427895545m/s,-0.098712034523487m/s,0.87220960855484m/s,0.179566606879234m/s,-0.33604210615158m/s,0.0856992006301879mA,154,0,FALSE
3690,2022-10-26T14:33:38.274Z,3.26059913635253mA,36.5°,-2.74185585975646mA,39.6875°,-2.95089101791381mA,40.1875°,-1.25908350944519mA,43.0625°,-3.49814653396606mA,45.25°,0.138566821813583mA,44.5625°,0.00145690096542239m/s,-0.223831087350845m/s,-0.188805490732193m/s,0.00948585476726293m/s,-0.00047531517338939m/s,-0.0693684443831443m/s,0.0852779746055603mA,154,0,FALSE
3691,2022-10-26T14:33:39.280Z,0.675732910633087mA,36.5625°,-2.42186450958251mA,39.625°,-1.00131273269653mA,40.25°,-1.17937088012695mA,43.0625°,-1.0282062292099mA,45.25°,0.223368346691131mA,44.5625°,0.115527831017971m/s,-0.0523751638829708m/s,0.0110064344480633m/s,-0.625211238861084m/s,0.0353169478476047m/s,0.563146531581878m/s,0.083239197731018mA,154,0,FALSE
3692,2022-10-26T14:33:40.289Z,0.901787102222442mA,36.5°,-0.0672176778316497mA,39.625°,-0.00931823439896106mA,40.25°,-0.186548262834548mA,43.0625°,-1.84060633182525mA,45.25°,0.139277026057243mA,44.625°,0.0103461071848869m/s,-0.00254323426634073m/s,0.005831197835505m/s,-0.000428459170507267m/s,0.000491939950734376m/s,0.00247922423295676m/s,0.087651789188385mA,154,0,FALSE
3693,2022-10-26T14:33:41.295Z,-0.210620954632759mA,36.5625°,-2.13874721527099mA,39.625°,-1.11428523063659mA,40.1875°,-0.531099557876586mA,43.0625°,0.0297114476561546mA,45.25°,0.0349277928471565mA,44.625°,0.0m/s,-3.09254784349287e-33m/s,0.0m/s,5.16392602317818e-18m/s,1.28577867622638e-16m/s,0.0m/s,0.0870583653450012mA,154,0,FALSE
3694,2022-10-26T14:33:42.301Z,-0.16723845899105mA,36.5625°,-1.87634873390197mA,39.6875°,-1.11686241626739mA,40.1875°,-0.526837170124054mA,43.0625°,0.0321922674775123mA,45.25°,0.0260397680103778mA,44.625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0952901840209961mA,154,0,FALSE
3695,2022-10-26T14:33:43.308Z,-0.195977181196212mA,36.5625°,-2.07935523986816mA,39.6875°,-1.20711243152618mA,40.1875°,-0.431920170783996mA,43.0625°,0.0631779059767723mA,45.25°,0.022005271166563mA,44.625°,1.63754928128763e-13m/s,0.0m/s,0.0m/s,0.00455333990976214m/s,0.0m/s,-0.00322023592889308m/s,0.0820523500442504mA,154,0,FALSE
3696,2022-10-26T14:33:44.313Z,-0.190663784742355mA,36.5°,-2.74208736419677mA,39.6875°,-1.69962787628173mA,40.1875°,-0.260167598724365mA,43.125°,0.141740411520004mA,45.25°,-0.161885291337966mA,44.5625°,-0.156159281730651m/s,0.00125381583347916m/s,-0.0338619388639926m/s,0.618976831436157m/s,-0.0209030825644731m/s,-0.471799731254577m/s,0.088417649269104mA,154,0,FALSE
3697,2022-10-26T14:33:45.322Z,-0.156692817807197mA,36.5625°,-1.78584682941436mA,39.6875°,-1.94188129901885mA,40.1875°,-0.234954833984375mA,43.125°,0.175619512796401mA,45.25°,-0.151857629418373mA,44.625°,0.0733566358685493m/s,0.00514060771092772m/s,-0.00587217090651392m/s,0.221514329314231m/s,-0.00658858520910143m/s,-0.296456664800643m/s,0.0793339014053344mA,154,0,FALSE
3698,2022-10-26T14:33:46.324Z,-3.04222202301025mA,36.5625°,-2.07587194442749mA,39.6875°,-0.930091142654419mA,40.1875°,-0.582187056541442mA,43.125°,0.913462281227111mA,45.25°,-0.107172958552837mA,44.5625°,-9.35039133764803e-05m/s,-0.00921018421649932m/s,0.116507284343242m/s,-0.0146062327548861m/s,0.0m/s,0.0197667963802814m/s,0.0838326215744018mA,154,0,FALSE
3699,2022-10-26T14:33:47.328Z,-0.261712163686752mA,36.5°,-2.34570097923278mA,39.6875°,-1.46756291389465mA,40.1875°,-0.298209160566329mA,43.125°,-0.270645499229431mA,45.25°,0.189882487058639mA,44.625°,-0.279992759227752m/s,-0.0677886456251144m/s,-0.0519537031650543m/s,0.62169200181961m/s,0.115977600216865m/s,-0.265764564275741m/s,0.0856992006301879mA,154,0,FALSE
